Passenger ID,First Name,Last Name,Gender,Age,Nationality,Airport Name,Airport Country Code,Country Name,Airport Continent,Continents,Departure Date,Arrival Airport,Pilot Name,Flight Status,Day of Departure,Time of Departure,WeatherDelay,NASDelay,SecurityDelay,CarrierDelay,ArrivalDelay,DepartureDelay,Year,Month,DepartureHour,Route,IsDelayed,IsCancelled
tv0aXR,Jacenta,Linner,Female,38,Argentina,Sibiu International Airport,RO,Romania,EU,Europe,2022-12-24,SBZ,Joseito Zorzi,Cancelled,Saturday,2026-03-13 14:31:43,96,140,47,24,42,39,2022,12,14,Sibiu International Airport - SBZ,0,1
oWtYRe,Mariann,Wilshin,Female,80,China,Panguitch Municipal Airport,US,United States,NAM,North America,2022-10-19,PNU,Vanya Dami,Delayed,Sunday,2026-03-13 09:57:48,11,43,61,44,66,60,2022,10,9,Panguitch Municipal Airport - PNU,1,0
C6kNwj,Jedidiah,Malins,Male,66,Indonesia,Cue Airport,AU,Australia,OC,Oceania,2022-10-16,CUY,Perren Salkild,Cancelled,Tuesday,2026-03-13 16:50:31,24,71,88,11,21,17,2022,10,16,Cue Airport - CUY,0,1
jGK7IW,Rory,Wank,Female,84,Japan,Ilam Airport,IR,"Iran, Islamic Republic of",AS,Asia,2022-10-21,IIL,Yoshiko Agastina,Cancelled,Tuesday,2026-03-13 09:06:56,68,107,30,74,96,92,2022,10,9,Ilam Airport - IIL,0,1
7j5g5M,Modesty,Zink,Female,11,Ukraine,Soledade Airport,BR,Brazil,SAM,South America,2022-03-10,0,Charissa Figures,Cancelled,Tuesday,2026-03-13 14:30:39,41,95,72,29,47,43,2022,3,14,Soledade Airport - 0,0,1
K4mE4H,Newton,Berni,Male,52,Argentina,Helenvale Airport,AU,Australia,OC,Oceania,2022-02-05,HLV,Rouvin Siflet,Delayed,Wednesday,2026-03-13 20:16:08,3,15,12,38,59,56,2022,2,20,Helenvale Airport - HLV,1,0
fe9vIa,Sybila,Troker,Female,8,Indonesia,Dalhart Municipal Airport,US,United States,NAM,North America,2022-08-04,DHT,Nelle Aldridge,On Time,Thursday,2026-03-13 20:37:15,52,113,56,13,26,23,2022,8,20,Dalhart Municipal Airport - DHT,0,0
Txixyg,Jewel,Betteney,Female,66,China,Yam Island Airport,AU,Australia,OC,Oceania,2022-12-27,XMY,Bonnee Summerson,On Time,Thursday,2026-03-13 05:30:06,88,134,40,57,78,74,2022,12,5,Yam Island Airport - XMY,0,0
i8N6c7,Hobie,Skace,Male,70,China,St George Airport,AU,Australia,OC,Oceania,2022-12-07,SGO,Jenn Backshaw,Delayed,Friday,2026-03-13 04:38:05,16,49,79,32,53,48,2022,12,4,St George Airport - SGO,1,0
zmLs0I,Loree,Fishpond,Female,37,Ukraine,Dallas Love Field,US,United States,NAM,North America,2022-05-31,DAL,Gaelan Kenyam,On Time,Sunday,2026-03-13 05:05:52,73,120,33,48,71,68,2022,5,5,Dallas Love Field - DAL,0,0
HJjcbN,Gauthier,Elsip,Male,33,Uruguay,Gerrard Smith International Airport,KY,Cayman Islands,NAM,North America,2022-11-06,CYB,Leslie Delmage,Cancelled,Sunday,2026-03-13 10:42:15,28,62,85,9,16,13,2022,11,10,Gerrard Smith International Airport - CYB,0,1
Dbnam6,Gisella,Watters,Female,35,Philippines,RAF Wildenrath,DE,Germany,EU,Europe,2022-02-17,WID,Sherwin Izen,Cancelled,Monday,2026-03-13 04:02:24,7,22,9,88,108,102,2022,2,4,RAF Wildenrath - WID,0,1
qScvIX,Flora,Delgardillo,Female,51,Philippines,General Lucio Blanco International Airport,MX,Mexico,NAM,North America,2022-10-19,REX,Keeley Kiltie,On Time,Wednesday,2026-03-13 18:44:19,61,102,50,20,35,31,2022,10,18,General Lucio Blanco International Airport - REX,0,0
XGQOHz,Dorthea,Wealleans,Female,6,China,Wantoat Airport,PG,Papua New Guinea,OC,Oceania,2022-11-30,WTT,Adi Sinclar,On Time,Thursday,2026-03-13 14:35:12,94,139,24,62,84,79,2022,11,14,Wantoat Airport - WTT,0,0
X2Ltf0,Arlyn,Boole,Female,45,Philippines,Sofia Airport,BG,Bulgaria,EU,Europe,2022-01-20,SOF,Cindie Critten,On Time,Saturday,2026-03-13 16:47:43,37,84,67,27,46,41,2022,1,16,Sofia Airport - SOF,0,0
zXX2BI,Jameson,Sayce,Male,53,Brazil,Antônio Guerreiro Airport,BR,Brazil,SAM,South America,2022-09-16,GMS,Maddy Siuda,On Time,Saturday,2026-03-13 20:18:18,19,53,91,50,72,69,2022,9,20,Antônio Guerreiro Airport - GMS,0,0
YLxT9W,Collin,Ciepluch,Male,54,China,Central Maine Airport of Norridgewock,US,United States,NAM,North America,2022-04-13,OWK,Torin Le Leu,Delayed,Saturday,2026-03-13 16:18:35,80,128,46,16,29,25,2022,4,16,Central Maine Airport of Norridgewock - OWK,1,0
pPkCA0,Francoise,Mustill,Female,76,Netherlands,Lawson Army Air Field (Fort Benning),US,United States,NAM,North America,2022-07-21,LSF,Carlye Egan,Delayed,Saturday,2026-03-13 11:51:53,25,69,76,70,93,89,2022,7,11,Lawson Army Air Field (Fort Benning) - LSF,1,0
ccOroQ,Peterus,Lettson,Male,70,Botswana,Ust-Maya Airport,RU,Russian Federation,EU,Europe,2022-10-11,UMS,Eugine Mainwaring,Delayed,Sunday,2026-03-13 02:49:38,58,116,31,33,54,50,2022,10,2,Ust-Maya Airport - UMS,1,0
z2zl1t,Yuri,Crossfield,Male,38,Peru,Dalby Airport,AU,Australia,OC,Oceania,2022-05-15,DBY,Crista Timewell,On Time,Monday,2026-03-13 02:32:54,42,90,58,42,64,61,2022,5,2,Dalby Airport - DBY,0,0
D6SsuG,Kirbee,Wrenn,Female,45,Armenia,Lučenec Airport,SK,Slovakia,EU,Europe,2022-07-27,LUE,Mary Hurch,On Time,Tuesday,2026-03-13 20:00:41,10,36,14,4,9,7,2022,7,20,Lučenec Airport - LUE,0,0
ZzqP1s,Rici,Rein,Female,85,Russia,Meghauli Airport,NP,Nepal,AS,Asia,2022-02-26,MEY,Eleni Avent,Delayed,Tuesday,2026-03-13 07:12:11,66,111,70,77,99,95,2022,2,7,Meghauli Airport - MEY,1,0
V30YQC,Anestassia,Vauls,Female,20,Albania,Nikolai Airport,US,United States,NAM,North America,2022-11-08,NIB,Lucio Notley,On Time,Tuesday,2026-03-13 02:44:44,31,74,87,22,38,34,2022,11,2,Nikolai Airport - NIB,0,0
zLM6wt,Virgil,Markussen,Male,79,Philippines,Bemidji Regional Airport,US,United States,NAM,North America,2022-06-19,BJI,Bird Boarder,Cancelled,Wednesday,2026-03-13 03:53:16,97,143,28,53,75,71,2022,6,3,Bemidji Regional Airport - BJI,0,1
A6Rssr,Marlin,Yegorev,Male,25,Egypt,Muhammad Salahuddin Airport,ID,Indonesia,AS,Asia,2022-08-28,BMU,Saidee Sellers,Cancelled,Wednesday,2026-03-13 05:44:50,20,60,81,30,49,45,2022,8,5,Muhammad Salahuddin Airport - BMU,0,1
UFOM9h,Clemmie,Harbertson,Male,76,Ukraine,"Magdeburg ""City"" Airport",DE,Germany,EU,Europe,2022-06-12,ZMG,Tadio Hayne,Cancelled,Thursday,2026-03-13 12:19:20,75,125,35,64,86,82,2022,6,12,"Magdeburg ""City"" Airport - ZMG",0,1
YfqTxa,Happy,Jaskowicz,Female,82,Mexico,Tsletsi Airport,DZ,Algeria,AF,Africa,2022-01-11,QDJ,Meridith Dibbe,Cancelled,Friday,2026-03-13 20:54:37,13,48,62,19,34,30,2022,1,20,Tsletsi Airport - QDJ,0,1
RDnvan,Quentin,Plaschke,Male,37,Syria,Groote Eylandt Airport,AU,Australia,OC,Oceania,2022-03-30,GTE,Honey Gallaway,On Time,Saturday,2026-03-13 01:18:14,84,131,44,46,68,63,2022,3,1,Groote Eylandt Airport - GTE,0,0
NzdL85,Paulie,Dunnet,Male,37,Serbia,Lemhi County Airport,US,United States,NAM,North America,2022-01-23,SMN,Ned Marnes,Delayed,Tuesday,2026-03-13 03:03:31,36,83,93,2,5,3,2022,1,3,Lemhi County Airport - SMN,1,0
ivypYb,Wilma,Burdytt,Female,72,Poland,Green River Airport,PG,Papua New Guinea,OC,Oceania,2022-11-07,GVI,Clarey Masding,On Time,Wednesday,2026-03-13 22:28:38,1,12,6,80,101,97,2022,11,22,Green River Airport - GVI,0,0
6mWhFX,Cobbie,Imorts,Male,18,Croatia,Kenai Municipal Airport,US,United States,NAM,North America,2022-03-07,ENA,Eugenius Grishakov,Delayed,Wednesday,2026-03-13 06:10:31,49,100,57,25,43,40,2022,3,6,Kenai Municipal Airport - ENA,1,0
mrnMHX,Murry,Entreis,Male,86,Russia,Margaret River (Station) Airport,AU,Australia,OC,Oceania,2022-12-15,MGV,Delora Percival,On Time,Thursday,2026-03-13 16:25:29,92,137,26,58,79,76,2022,12,16,Margaret River (Station) Airport - MGV,0,0
bVouYw,George,Wildber,Female,32,Brazil,Abraham Lincoln Capital Airport,US,United States,NAM,North America,2022-04-25,SPI,Sayer Speakman,Delayed,Thursday,2026-03-13 11:15:03,17,55,73,35,56,52,2022,4,11,Abraham Lincoln Capital Airport - SPI,1,0
IuO9ec,Bethany,Corona,Female,62,Tanzania,Shahid Sadooghi Airport,IR,"Iran, Islamic Republic of",AS,Asia,2022-08-16,AZD,Elmer Baldock,Cancelled,Friday,2026-03-13 12:07:03,64,108,39,66,88,83,2022,8,12,Shahid Sadooghi Airport - AZD,0,1
wHOHxY,Carolann,Yves,Female,89,Poland,Arathusa Safari Lodge Airport,ZA,South Africa,AF,Africa,2022-07-10,ASS,Dulci Milne,Cancelled,Saturday,2026-03-13 09:00:04,29,67,82,14,27,22,2022,7,9,Arathusa Safari Lodge Airport - ASS,0,1
iBVqbk,Benson,Hook,Male,29,Indonesia,Bewani Airport,PG,Papua New Guinea,OC,Oceania,2022-11-29,BWP,Kristi Curteis,On Time,Saturday,2026-03-13 02:30:27,6,21,15,73,94,90,2022,11,2,Bewani Airport - BWP,0,0
tL5hxa,Dunstan,Fyrth,Male,42,China,Jwaneng Airport,BW,Botswana,AF,Africa,2022-03-28,JWA,Sallie Jessop,On Time,Sunday,2026-03-13 06:29:28,57,114,54,28,45,41,2022,3,6,Jwaneng Airport - JWA,0,0
8I5hd4,Rutger,Georgeon,Male,54,Myanmar,Turaif Domestic Airport,SA,Saudi Arabia,AS,Asia,2022-08-02,TUI,Steward Sainter,Cancelled,Monday,2026-03-13 07:02:32,81,127,42,40,62,57,2022,8,7,Turaif Domestic Airport - TUI,0,1
N3KhpW,Gearalt,Bynold,Male,1,China,Nueva Loja Airport,EC,Ecuador,SAM,South America,2022-12-17,LGQ,Mic Rosenau,Delayed,Monday,2026-03-13 03:27:23,34,79,96,6,11,9,2022,12,3,Nueva Loja Airport - LGQ,1,0
pN0any,Ferrel,Elphey,Male,7,Slovenia,Southern Seaplane Airport,US,United States,NAM,North America,2022-03-26,BCS,Queenie Arends,Cancelled,Tuesday,2026-03-13 16:33:47,22,63,68,85,106,101,2022,3,16,Southern Seaplane Airport - BCS,0,1
sGOSsK,Magda,Nealand,Female,66,United States,Wanuma Airport,PG,Papua New Guinea,OC,Oceania,2022-01-09,WNU,Brnaba Lilburne,Cancelled,Wednesday,2026-03-13 05:37:41,90,135,27,21,36,32,2022,1,5,Wanuma Airport - WNU,0,1
to75jW,Pamella,Eaden,Female,90,Indonesia,Amchitka Army Airfield,US,United States,NAM,North America,2022-07-06,AHT,Pearle Assiter,Cancelled,Thursday,2026-03-13 18:49:21,40,91,59,59,81,77,2022,7,18,Amchitka Army Airfield - AHT,0,1
5mZhuA,Nathanil,Monan,Male,69,Brazil,Araraquara Airport,BR,Brazil,SAM,South America,2022-08-03,AQA,Gabe Sartin,On Time,Thursday,2026-03-13 20:09:30,15,47,84,31,51,47,2022,8,20,Araraquara Airport - AQA,0,0
HSAKU8,Skelly,Gopsell,Male,9,Czech Republic,Phoenix-Mesa-Gateway Airport,US,United States,NAM,North America,2022-10-06,AZA,Deborah Mathissen,On Time,Friday,2026-03-13 09:23:20,69,109,38,68,89,84,2022,10,9,Phoenix-Mesa-Gateway Airport - AZA,0,0
iu8RvF,Arel,Tyson,Male,37,Spain,Orocue Airport,CO,Colombia,SAM,South America,2022-12-08,ORC,Danie Maggiore,Cancelled,Sunday,2026-03-13 10:03:23,26,72,71,12,24,20,2022,12,10,Orocue Airport - ORC,0,1
lOBd0V,Ericha,Dressel,Female,29,Sweden,Gorakhpur Airport,IN,India,AS,Asia,2022-01-30,GOP,Rowena Krollman,Cancelled,Monday,2026-03-13 00:03:26,53,115,32,76,97,92,2022,1,0,Gorakhpur Airport - GOP,0,1
qVo12R,Yasmin,Findlow,Female,83,Macedonia,Moody Air Force Base,US,United States,NAM,North America,2022-08-17,VAD,Parnell Gosby,Delayed,Tuesday,2026-03-13 04:45:29,98,144,23,34,55,50,2022,8,4,Moody Air Force Base - VAD,1,0
cFcmlg,Corby,Van Der Straaten,Male,75,Kazakhstan,Sangir Airport,ID,Indonesia,AS,Asia,2022-01-10,SAE,Maureen Slimming,On Time,Wednesday,2026-03-13 19:42:14,32,76,89,49,70,66,2022,1,19,Sangir Airport - SAE,0,0
vnnGIf,Herbert,Billingsly,Male,56,Mongolia,Jubail Airport,SA,Saudi Arabia,AS,Asia,2022-02-13,QJB,Lincoln Blaske,Delayed,Thursday,2026-03-13 16:03:54,7,24,13,7,13,10,2022,2,16,Jubail Airport - QJB,1,0
x6rnf2,Aprilette,Veysey,Female,13,Thailand,Trona Airport,US,United States,NAM,North America,2022-05-28,TRH,Neale MacMearty,Cancelled,Thursday,2026-03-13 23:44:50,60,103,65,92,115,109,2022,5,23,Trona Airport - TRH,0,1
qaXOZb,Biddy,Rief,Female,89,Vietnam,Kribi Airport,CM,Cameroon,AF,Africa,2022-01-13,KBI,Darlleen Twohig,On Time,Friday,2026-03-13 00:45:05,85,130,49,18,32,28,2022,1,0,Kribi Airport - KBI,0,0
IT0YA7,Brunhilda,Davley,Female,16,Indonesia,Black Tickle Airport,CA,Canada,NAM,North America,2022-12-02,YBI,Constantino Flanigan,Delayed,Saturday,2026-03-13 20:28:41,38,86,78,61,83,78,2022,12,20,Black Tickle Airport - YBI,1,0
Seo22L,Artair,Ondrich,Male,73,Indonesia,Pakhokku Airport,MM,Myanmar,AS,Asia,2022-12-05,PKK,Phoebe Quilkin,Delayed,Sunday,2026-03-13 14:05:27,18,50,97,26,41,37,2022,12,14,Pakhokku Airport - PKK,1,0
vmT9g3,Marylinda,Gussie,Female,15,Poland,Khovd Airport,MN,Mongolia,AS,Asia,2022-10-13,HVD,Dyanna Edmondson,Cancelled,Monday,2026-03-13 13:21:05,74,119,43,54,74,69,2022,10,13,Khovd Airport - HVD,0,1
Xh51tj,Gabrila,Speedin,Female,88,Portugal,Rostock-Laage Airport,DE,Germany,EU,Europe,2022-08-23,RLG,Hope O'Doherty,On Time,Monday,2026-03-13 08:53:36,30,68,75,37,57,53,2022,8,8,Rostock-Laage Airport - RLG,0,0
VWmlhx,Pavlov,Hadye,Male,82,Brazil,Mecheria Airport,DZ,Algeria,AF,Africa,2022-12-05,MZW,Stefano Klampt,Cancelled,Monday,2026-03-13 20:48:25,95,138,22,65,87,82,2022,12,20,Mecheria Airport - MZW,0,1
LNOgld,Heath,Lackmann,Male,75,China,Shuswap Regional Airport,CA,Canada,NAM,North America,2022-05-10,YSN,Trude Querrard,On Time,Tuesday,2026-03-13 06:46:19,45,93,66,15,28,23,2022,5,6,Shuswap Regional Airport - YSN,0,0
rtn9jM,Michele,Olenchenko,Male,75,Russia,Grumman Bethpage Airport,US,United States,NAM,North America,2022-08-21,BPA,Bessie Toller,On Time,Tuesday,2026-03-13 13:31:11,12,35,16,71,91,86,2022,8,13,Grumman Bethpage Airport - BPA,0,0
2hpdO9,Mischa,Caulwell,Male,36,Mexico,Canefield Airport,DM,Dominica,NAM,North America,2022-05-19,DCF,Cari Moens,Delayed,Tuesday,2026-03-13 07:35:23,71,117,51,23,39,35,2022,5,7,Canefield Airport - DCF,1,0
xLsgtq,Carlota,Llewhellin,Female,37,China,Sultan Khairun Babullah Airport,ID,Indonesia,AS,Asia,2022-11-05,TTE,Reube Branwhite,Cancelled,Tuesday,2026-03-13 23:54:59,99,146,24,43,65,60,2022,11,23,Sultan Khairun Babullah Airport - TTE,0,1
wbG9e2,Edlin,Theobald,Male,70,Poland,El Dorado International Airport,CO,Colombia,SAM,South America,2022-12-03,BOG,Lisha Retallick,On Time,Wednesday,2026-03-13 13:42:04,43,89,74,5,8,6,2022,12,13,El Dorado International Airport - BOG,0,0
Aaf4yi,Sheridan,Casino,Male,13,Ukraine,Fuerte Olimpo Airport,PY,Paraguay,SAM,South America,2022-07-21,OLK,Carrissa McCooke,Delayed,Wednesday,2026-03-13 14:57:16,23,59,92,78,100,95,2022,7,14,Fuerte Olimpo Airport - OLK,1,0
0RllrP,Isidor,Rundall,Male,54,Peru,Geraldton Greenstone Regional Airport,CA,Canada,NAM,North America,2022-07-28,YGQ,Claresta Charter,Cancelled,Wednesday,2026-03-13 11:05:37,56,112,34,20,34,30,2022,7,11,Geraldton Greenstone Regional Airport - YGQ,0,1
cjbR6l,Heywood,Bisp,Male,40,Indonesia,Bar Yehuda Airfield,IL,Israel,AS,Asia,2022-11-14,MTZ,Tomi Larkins,On Time,Wednesday,2026-03-13 09:12:39,82,124,63,56,77,73,2022,11,9,Bar Yehuda Airfield - MTZ,0,0
OJ40dA,Allx,Fretter,Female,80,Brazil,Brandon Municipal Airport,CA,Canada,NAM,North America,2022-04-14,YBR,Saxon Stoker,Cancelled,Thursday,2026-03-13 15:26:15,14,41,85,29,48,44,2022,4,15,Brandon Municipal Airport - YBR,0,1
y6iGs6,Domenico,Cadman,Male,39,Ukraine,Rijeka Airport,HR,Croatia,EU,Europe,2022-04-27,RJK,Tailor McGilroy,Cancelled,Thursday,2026-03-13 01:07:24,67,106,29,67,90,85,2022,4,1,Rijeka Airport - RJK,0,1
fBsNuG,Tansy,Symons,Female,48,Indonesia,Lebanon Municipal Airport,US,United States,NAM,North America,2022-05-23,LEB,Olly Pawelek,Delayed,Thursday,2026-03-13 02:04:34,48,98,58,11,19,16,2022,5,2,Lebanon Municipal Airport - LEB,1,0
wFeO35,Con,Kaine,Male,85,Yemen,Valcheta Airport,AR,Argentina,SAM,South America,2022-10-23,VCF,Ginger Dominichelli,On Time,Friday,2026-03-13 03:12:54,5,27,10,84,105,100,2022,10,3,Valcheta Airport - VCF,0,0
TZPqnL,Felizio,Kevern,Male,64,Russia,Futuna Airport,VU,Vanuatu,OC,Oceania,2022-04-09,FTA,Munroe Humble,Cancelled,Saturday,2026-03-13 18:53:57,79,123,69,23,45,38,2022,4,18,Futuna Airport - FTA,0,1
